sdss_name_j,sdss_name,fitsname,zqso,zabs,snr_m_3934,snr_m_3969,snr_3934_center,snr_3969_center,ew1,ew2,drift1,drift2,fwhm1,fwhm2,ew1_err,ew2_err,FWHM1,FWHM2,RA_j,DEC_j,PLATE_j,FIBER_j,MJD_j
SDSS J130241.83+370114.3,SDSS J130241.83+370114.3,spSpec-53800-2018-089.fit,1.421126962,0.440148413,2.578707691,2.621309526,2.578707689,2.63410603,0.366641726,0.329884014,-0.258048797,2.107570835,1.566462397,1.431319462,0.142180414,0.125847028,3.13848066,2.66779417,195.674304,37.020632,2018,89,53800
SDSS J083028.56+072759.6,SDSS J083028.56+072759.6,spSpec-52963-1297-330.fit,1.779000044,1.254151702,5.891147986,5.016396786,6.13378207,5.286248957,1.377836574,1.152309056,0.653057759,-0.555102946,1.991252855,2.105573229,0.233882526,0.229708515,1.40110405,1.3828129,127.619012,7.466544,1297,330,52963
SDSS J094141.94+271741.5,SDSS J094141.94+271741.5,spSpec-53385-1944-011.fit,1.323119998,1.014451027,5.102939951,8.008064951,4.992383594,8.008064957,0.489230834,1.152088095,-0.034855547,0.872259155,1.192522403,1.223260004,0.095872348,0.143865978,2.109482614,1.359476992,145.424746,27.294853,1944,11,53385
SDSS J075333.73+403652.9,SDSS J075333.73+403652.9,spSpec-51882-0435-480.fit,1.945163012,0.747111022,4.547047736,2.682238806,4.547047737,2.682238805,1.004587104,0.683057889,-0.321072569,0.294009819,1.384099291,2.103997591,0.220931726,0.25465961,1.087092599,2.02842505,118.390541,40.614685,435,480,51882
SDSS J102030.07-001700.5,SDSS J102030.07-001700.5,spSpec-51883-0271-073.fit,2.092461109,0.974500537,3.194499253,4.083174217,3.164139362,4.068041704,0.532658525,0.999805965,0.75357794,-0.309238129,1.976363625,3.164262005,0.166742417,0.244859982,1.962883227,1.316085679,155.125295,-0.283462,271,73,51883
SDSS J155639.20+002004.7,SDSS J155639.20+002004.7,spSpec-51692-0343-509.fit,1.839329004,0.998637021,4.1434469,2.426813575,4.143446898,2.460526361,0.895466466,0.492523287,0.578590968,-1.651051774,1.998773619,2.333671195,0.216116313,0.202950607,1.320270228,1.701998125,239.163318,0.334641,343,509,51692
SDSS J222050.56-001827.7,SDSS J222050.56-001827.7,spSpec-52873-1103-229.fit,1.943027973,0.871572554,3.87498067,2.977611243,3.762981309,3.035975902,1.056319734,0.774863565,-1.326290235,-0.130286142,1.740315838,1.886933841,0.272600001,0.26022993,1.483600311,2.469185353,335.210648,-0.307697,1103,229,52873
SDSS J103453.93+512239.0,SDSS J103453.93+512239.0,spec-6695-56628-0125.fits,2.200000048,1.225681543,3.226766294,4.167244546,3.582760323,3.685861907,1.322446762,1.173445132,0.786392483,0.510172456,1.933552531,1.323070106,0.409836549,0.281587778,2.672505863,1.593222228,158.7247052,51.37750636,6695,125,56628
SDSS J081226.76+341010.7,SDSS J081226.76+341010.7,spec-3757-55508-0100.fits,0.698000014,0.603573561,2.524454421,3.082596546,2.516656145,2.837748745,0.436121236,0.542488584,0.275031674,0.310351348,1.693447548,1.429343295,0.17275861,0.175984296,2.25278899,1.427134145,123.1115111,34.1696356,3757,100,55508
SDSS J085852.41+214315.7,SDSS J085852.41+214315.7,spec-5773-56009-0698.fits,2.359999895,1.148635864,4.178591591,2.383775941,4.396123904,2.383775939,1.020551873,0.241988243,0.408225081,0.902705717,1.935195578,1.187878351,0.244233458,0.101514676,2.77719088,1.480490482,134.7183722,21.72101738,5773,698,56009
